"(""[Parameter(Mandatory = $False, ParameterSetName='ObjectGuidLookup')]\n        [Guid]\n        $ObjectType"", 'Guid', 'ObjectType', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(Mandatory = $true, ValueFromPipelineByPropertyName = $true, ParameterSetName = 'CreateVariables')]\n        [switch]$CreateVariables"", 'switch', 'CreateVariables', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ParameterSetName = 'API')]\n        [Switch]\n        $API"", 'Switch', 'API', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\n        return $ReturnTypes', '', 'return', 'ReturnTypes', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\n    [Reflection.TypeAttributes] $StructAttributes', '', 'Reflection.TypeAttributes', 'StructAttributes', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\n    return $ModuleBuilder', '', 'return', 'ModuleBuilder', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\n.EXAMPLE\n$ComputerPassword', '', '.EXAMPLE', 'ComputerPassword', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\n.EXAMPLE\n$SecPassword', '', '.EXAMPLE', 'SecPassword', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\n.EXAMPLE\n\n$Cred', '', '.EXAMPLE', 'Cred', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\n.EXAMPLE\n\n$Guids', '', '.EXAMPLE', 'Guids', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\n.EXAMPLE\n\n$Harmj0ySid', '', '.EXAMPLE', 'Harmj0ySid', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\n.EXAMPLE\n\n$Mod', '', '.EXAMPLE', 'Mod', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\n.EXAMPLE\n\n$Module', '', '.EXAMPLE', 'Module', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\n.EXAMPLE\n\n$SecPassword', '', '.EXAMPLE', 'SecPassword', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\n.EXAMPLE\n\n$UserPassword', '', '.EXAMPLE', 'UserPassword', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\n.EXAMPLE\n\n$UserSID', '', '.EXAMPLE', 'UserSID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\n.EXAMPLE\n\n$cred', '', '.EXAMPLE', 'cred', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\n.EXAMPLE\n\n$hours', '', '.EXAMPLE', 'hours', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.AccessControlType\n                        $Out', '', '_.AccessControlType', 'Out', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.AceFlags\n                                $InterestingACL', '', '_.AceFlags', 'InterestingACL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.AceFlags\n                        $InterestingACL', '', '_.AceFlags', 'InterestingACL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.AceQualifier\n                                $InterestingACL', '', '_.AceQualifier', 'InterestingACL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.AceQualifier\n                        $InterestingACL', '', '_.AceQualifier', 'InterestingACL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.AceType\n                                $InterestingACL', '', '_.AceType', 'InterestingACL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.AceType\n                        $InterestingACL', '', '_.AceType', 'InterestingACL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.ActiveDirectoryRights\n                        $Object', '', '_.ActiveDirectoryRights', 'Object', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.GPODisplayName\n            $GPOguid', '', '_.GPODisplayName', 'GPOguid', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.GPOName\n            $GPOPath', '', '_.GPOName', 'GPOPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.GPOPath\n            $GPOType', '', '_.GPOPath', 'GPOType', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.IPAddressToString\n                        $Out', '', '_.IPAddressToString', 'Out', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.IdentityReference.Value\n\n                        $Out', '', '_.IdentityReference.Value', 'Out', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.InheritanceFlags\n                                $InterestingACL', '', '_.InheritanceFlags', 'InterestingACL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.InheritanceFlags\n                        $InterestingACL', '', '_.InheritanceFlags', 'InterestingACL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.Name\n                            $PropertyXorValue', '', '_.Name', 'PropertyXorValue', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.ObjectDN\n                                $InterestingACL', '', '_.ObjectDN', 'InterestingACL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.ObjectDN\n                        $InterestingACL', '', '_.ObjectDN', 'InterestingACL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.ObjectSID\n                        $PrincipalSID', '', '_.ObjectSID', 'PrincipalSID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.ProcessID\n                    $Process', '', '_.ProcessID', 'Process', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.ProcessName\n                    $Process', '', '_.ProcessName', 'Process', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.Properties.distinguishedname\n                        $GPOLocalGroupMapping', '', '_.Properties.distinguishedname', 'GPOLocalGroupMapping', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.Properties.samaccountname\n            $ASREPHash', '', '_.Properties.samaccountname', 'ASREPHash', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.Properties\n                        $RemoteNames', '', '_.Properties', 'RemoteNames', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.Properties\n                        $target_list', '', '_.Properties', 'target_list', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.SecurityIdentifier.Value]\n\n                        $InterestingACL', '', '_.SecurityIdentifier.Value', 'InterestingACL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.SecurityIdentifier\n                                $InterestingACL', '', '_.SecurityIdentifier', 'InterestingACL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.SecurityIdentifier\n                        $ADRights', '', '_.SecurityIdentifier', 'ADRights', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.SecurityIdentifier\n                        $InterestingACL', '', '_.SecurityIdentifier', 'InterestingACL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.SecurityIdentifier\n                    $RBCDObject', '', '_.SecurityIdentifier', 'RBCDObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.displayname\n            $GPOname', '', '_.displayname', 'GPOname', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.distinguishedname\n                        $ForeignUser', '', '_.distinguishedname', 'ForeignUser', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.distinguishedname\n                    $GPOLocalGroupMapping', '', '_.distinguishedname', 'GPOLocalGroupMapping', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.distinguishedname\n                    $UserIndex', '', '_.distinguishedname', 'UserIndex', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.distinguishedname\n            $GroupDomain', '', '_.distinguishedname', 'GroupDomain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.distinguishedname\n            $ManagedGroup', '', '_.distinguishedname', 'ManagedGroup', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.gpcfilesyspath\n\n            $ParseArgs', '', '_.gpcfilesyspath', 'ParseArgs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.managedBy\n            $Null', '', '_.managedBy', 'Null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.name\n            $GPOPath', '', '_.name', 'GPOPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.samAccountName\n            $GroupDistinguishedName', '', '_.samAccountName', 'GroupDistinguishedName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.samaccountname\n                        $ForeignUser', '', '_.samaccountname', 'ForeignUser', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.samaccountname\n            $ManagedGroup', '', '_.samaccountname', 'ManagedGroup', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_.siteobjectbl\n                    $GPOLocalGroupMapping', '', '_.siteobjectbl', 'GPOLocalGroupMapping', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_\n                                    $Member', '', '_', 'Member', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_\n                        $GPOComputerLocalGroupMember', '', '_', 'GPOComputerLocalGroupMember', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_\n                        $UserDomain', '', '_', 'UserDomain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_\n                    $Computer', '', '_', 'Computer', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_\n                    $GPO', '', '_', 'GPO', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_\n                    $MemberName', '', '_', 'MemberName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_\n                    $Object', '', '_', 'Object', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_\n                    $RegLoggedOnUser', '', '_', 'RegLoggedOnUser', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_\n                    $User', '', '_', 'User', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_\n                $Object', '', '_', 'Object', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_\n                $Properties', '', '_', 'Properties', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_\n                $SearcherArguments', '', '_', 'SearcherArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_\n            $SID', '', '_', 'SID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_]\n                    $FSR', '', '_', 'FSR', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'adPeas_ExchVer.ExchangeBuild\n                                $object_ExSrv', '', 'adPeas_ExchVer.ExchangeBuild', 'object_ExSrv', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'allowedtoactonbehalfofotheridentity\n                $d', '', 'allowedtoactonbehalfofotheridentity', 'd', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and  $Exclusions', '', 'and', 'Exclusions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $ADCSWebEnrollment', '', 'and', 'ADCSWebEnrollment', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $Account', '', 'and', 'Account', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $Byte', '', 'and', 'Byte', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $CName', '', 'and', 'CName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $Check', '', 'and', 'Check', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $CheckShareAccess', '', 'and', 'CheckShareAccess', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $DefaultValue', '', 'and', 'DefaultValue', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $Domain', '', 'and', 'Domain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $ExSrvBuild', '', 'and', 'ExSrvBuild', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $Filter', '', 'and', 'Filter', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $GuidFilter', '', 'and', 'GuidFilter', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $Hour', '', 'and', 'Hour', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $InheritanceType', '', 'and', 'InheritanceType', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $InheritedObjectType', '', 'and', 'InheritedObjectType', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $LdapFilter', '', 'and', 'LdapFilter', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $LogoffTime', '', 'and', 'LogoffTime', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $MemberDN', '', 'and', 'MemberDN', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $Membership', '', 'and', 'Membership', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $MethodParameters', '', 'and', 'MethodParameters', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $Object', '', 'and', 'Object', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $Object_ADCS', '', 'and', 'Object_ADCS', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $Object_CompRBCDIdentityName', '', 'and', 'Object_CompRBCDIdentityName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $Object_DCs', '', 'and', 'Object_DCs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $Object_GPO', '', 'and', 'Object_GPO', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $Object_NetLogonFile', '', 'and', 'Object_NetLogonFile', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $Object_UserRBCDIdentityName', '', 'and', 'Object_UserRBCDIdentityName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $Object_Var_Template', '', 'and', 'Object_Var_Template', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $Object_screen', '', 'and', 'Object_screen', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $PSBoundParameters', '', 'and', 'PSBoundParameters', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $Privs', '', 'and', 'Privs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $SDDLString', '', 'and', 'SDDLString', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $SearchResults', '', 'and', 'SearchResults', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $StopOnSuccess', '', 'and', 'StopOnSuccess', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $TargetDomain', '', 'and', 'TargetDomain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $TemplateACL', '', 'and', 'TemplateACL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $Trust', '', 'and', 'Trust', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $UseMatchingRule', '', 'and', 'UseMatchingRule', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $UserDomain', '', 'and', 'UserDomain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $_', '', 'and', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $adPEAS_CAEnterpriseCA', '', 'and', 'adPEAS_CAEnterpriseCA', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $adPEAS_DCSyncRights', '', 'and', 'adPEAS_DCSyncRights', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $adPEAS_Domain', '', 'and', 'adPEAS_Domain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $adPEAS_DomainController', '', 'and', 'adPEAS_DomainController', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $adPEAS_DomainSubnets', '', 'and', 'adPEAS_DomainSubnets', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $adPEAS_DomainTrust', '', 'and', 'adPEAS_DomainTrust', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $adPEAS_ExServerGroup', '', 'and', 'adPEAS_ExServerGroup', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $adPEAS_ForestTrust', '', 'and', 'adPEAS_ForestTrust', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $adPEAS_GroupMembers', '', 'and', 'adPEAS_GroupMembers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $adPEAS_LAPSRights', '', 'and', 'adPEAS_LAPSRights', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $adPEAS_NetLogonRights', '', 'and', 'adPEAS_NetLogonRights', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $object_NetLogonRights', '', 'and', 'object_NetLogonRights', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $pkt', '', 'and', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $subkeys', '', 'and', 'subkeys', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $xacl', '', 'and', 'xacl', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $xml', '', 'and', 'xml', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'as $CertEnrollmentFlagEnum', '', 'as', 'CertEnrollmentFlagEnum', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'as $CertFlagsEnum', '', 'as', 'CertFlagsEnum', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'as $CertNameFlagEnum', '', 'as', 'CertNameFlagEnum', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'as $CertPrivKeyFlagEnum', '', 'as', 'CertPrivKeyFlagEnum', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'as $DS_DOMAIN_TRUSTS', '', 'as', 'DS_DOMAIN_TRUSTS', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'as $DsDomainTrustType', '', 'as', 'DsDomainTrustType', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'as $EnumType', '', 'as', 'EnumType', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'as $GroupTypeEnum', '', 'as', 'GroupTypeEnum', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'as $InstanceTypeEnum', '', 'as', 'InstanceTypeEnum', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'as $LOCALGROUP_INFO_1', '', 'as', 'LOCALGROUP_INFO_1', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'as $LOCALGROUP_MEMBERS_INFO_2', '', 'as', 'LOCALGROUP_MEMBERS_INFO_2', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'as $SESSION_INFO_10', '', 'as', 'SESSION_INFO_10', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'as $SHARE_INFO_1', '', 'as', 'SHARE_INFO_1', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'as $SamAccountTypeEnum', '', 'as', 'SamAccountTypeEnum', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'as $SchemaFlagsExEnum', '', 'as', 'SchemaFlagsExEnum', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'as $SearchFlagsExEnum', '', 'as', 'SearchFlagsExEnum', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'as $SystemFlagsEnum', '', 'as', 'SystemFlagsEnum', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'as $TrustAttributesEnum', '', 'as', 'TrustAttributesEnum', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'as $TrustDirectionEnum', '', 'as', 'TrustDirectionEnum', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'as $TypeName', '', 'as', 'TypeName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'as $UACEnum', '', 'as', 'UACEnum', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'as $WKSTA_USER_INFO_1', '', 'as', 'WKSTA_USER_INFO_1', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'as $WTS_CLIENT_ADDRESS', '', 'as', 'WTS_CLIENT_ADDRESS', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'as $WTS_SESSION_INFO_1', '', 'as', 'WTS_SESSION_INFO_1', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'b52272dec8a1\n\n    $Result', '', 'b52272dec8a1', 'Result', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'band $Hours', '', 'band', 'Hours', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'band $UACValue', '', 'band', 'UACValue', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'band $_', '', 'band', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'bit\n                $day', '', 'bit', 'day', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'blah.ps1\n\n$SecPassword', '', 'blah.ps1', 'SecPassword', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'blob_data_size_start..$blob_data_size_end', '', 'blob_data_size_start..', 'blob_data_size_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'blob_data_start..$blob_data_end', '', 'blob_data_start..', 'blob_data_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'blob_name_size_start..$blob_name_size_end', '', 'blob_name_size_start..', 'blob_name_size_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'blob_name_start..$blob_name_end', '', 'blob_name_start..', 'blob_name_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'bnot $_', '', 'bnot', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'bxor $PropertyXorValue', '', 'bxor', 'PropertyXorValue', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'cc227147.aspx\n            $object_list', '', 'cc227147.aspx', 'object_list', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'comment_size_start..$comment_size_end', '', 'comment_size_start..', 'comment_size_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'comment_start..$comment_end', '', 'comment_start..', 'comment_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'comment_timestamp_start..$comment_timestamp_end', '', 'comment_timestamp_start..', 'comment_timestamp_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'contains $ACEType', '', 'contains', 'ACEType', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'contains $Index', '', 'contains', 'Index', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'contains $MemberSID', '', 'contains', 'MemberSID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'contains $Name', '', 'contains', 'Name', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'contains $Object', '', 'contains', 'Object', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'contains $ObjectSID', '', 'contains', 'ObjectSID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'contains $PsCmdlet', '', 'contains', 'PsCmdlet', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'contains $SID', '', 'contains', 'SID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'contains $TargetLocalSID', '', 'contains', 'TargetLocalSID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'contains $UserName', '', 'contains', 'UserName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'contains $_', '', 'contains', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'contains $a', '', 'contains', 'a', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'contains $c', '', 'contains', 'c', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'dfs_targetlist_blob_size_start..$dfs_targetlist_blob_size_end', '', 'dfs_targetlist_blob_size_start..', 'dfs_targetlist_blob_size_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'dfs_targetlist_blob_start..$dfs_targetlist_blob_end', '', 'dfs_targetlist_blob_start..', 'dfs_targetlist_blob_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'e.g. $null', '', 'e.g.', 'null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $AvoidHex', '', 'eq', 'AvoidHex', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $GroupManager', '', 'eq', 'GroupManager', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $Harmj0ySid', '', 'eq', 'Harmj0ySid', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $ModuleName', '', 'eq', 'ModuleName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $Now', '', 'eq', 'Now', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $ObjectSID', '', 'eq', 'ObjectSID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $ObjectSid', '', 'eq', 'ObjectSid', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $Parts', '', 'eq', 'Parts', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $PrincipalSID', '', 'eq', 'PrincipalSID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $PropertyName', '', 'eq', 'PropertyName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $SDDLObject', '', 'eq', 'SDDLObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $Threads', '', 'eq', 'Threads', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $True', '', 'eq', 'True', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $UACValue', '', 'eq', 'UACValue', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $UserSID', '', 'eq', 'UserSID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $_', '', 'eq', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $adPEAS_Dom', '', 'eq', 'adPEAS_Dom', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $adPEAS_RootDom', '', 'eq', 'adPEAS_RootDom', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $null', '', 'eq', 'null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $template', '', 'eq', 'template', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $true', '', 'eq', 'true', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'f $DNSRecord', '', 'f', 'DNSRecord', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'f $High', '', 'f', 'High', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'f $i', '', 'f', 'i', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'f465e8949667\n\n    $Result', '', 'f465e8949667', 'Result', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'fa8c53507ae1\n\n    $Result', '', 'fa8c53507ae1', 'Result', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'false\n                    $Object_Template_IdentityACL', '', 'false', 'Object_Template_IdentityACL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'false\n                    $Object_Template_VulnFlag', '', 'false', 'Object_Template_VulnFlag', '', '', '', '', '', '', '', '')"
