"( ""Function call with parameters that may be unsafe - this call relies on the caller to check that the passed values are correct. "" ""To disable this warning, use -D_SCL_SECURE_NO_WARNINGS. See documentation on how to use Visual C++ 'Checked Iterators'"""
(BINDSTATUS_DOWNLOADINGDATA+1
(BINDSTATUS_ENCODING+1
(BINDSTATUS_ENDDOWNLOADCOMPONENTS+1
(BINDSTATUS_ENDDOWNLOADDATA+1
(BINDSTATUS_ENDSYNCOPERATION+1
(BINDSTATUS_ENDUPLOADDATA+1
(BINDSTATUS_FILTERREPORTMIMETYPE+1
(BINDSTATUS_INSTALLINGCOMPONENTS+1
(BINDSTATUS_IUNKNOWNAVAILABLE+1
(BINDSTATUS_LAST+1
(BINDSTATUS_LOADINGMIMEHANDLER+1
(BINDSTATUS_MIMETEXTPLAINMISMATCH+1
(BINDSTATUS_MIMETYPEAVAILABLE+1
(BINDSTATUS_P3P_HEADER+1
(BINDSTATUS_PERSISTENT_COOKIE_RECEIVED+1
(BINDSTATUS_POLICY_HREF+1
(BINDSTATUS_PROTOCOLCLASSID+1
(BINDSTATUS_PROXYDETECTING+1
(BINDSTATUS_PUBLISHERAVAILABLE+1
(BINDSTATUS_RAWMIMETYPE+1
(BINDSTATUS_REDIRECTING+1
(BINDSTATUS_RESERVED_0+1
(BINDSTATUS_RESERVED_1+1
(BINDSTATUS_RESERVED_2+1
(BINDSTATUS_RESERVED_3+1
(BINDSTATUS_RESERVED_4+1
(BINDSTATUS_RESERVED_5+1
(BINDSTATUS_RESERVED_6+1
(BINDSTATUS_RESERVED_7+1
(BINDSTATUS_RESERVED_8+1
(BINDSTATUS_RESERVED_9+1
(BINDSTATUS_RESERVED_A+1
(BINDSTATUS_RESERVED_B+1
(BINDSTATUS_RESERVED_C+1
(BINDSTATUS_RESERVED_D+1
(BINDSTATUS_SENDINGREQUEST+1
(BINDSTATUS_SERVER_MIMETYPEAVAILABLE+1
(BINDSTATUS_SNIFFED_CLASSIDAVAILABLE+1
(BINDSTATUS_SSLUX_NAVBLOCKED+1
(BINDSTATUS_UPLOADINGDATA+1
(BINDSTATUS_USINGCACHEDCOPY+1
(BINDSTATUS_VERIFIEDMIMETYPEAVAILABLE+1
(BINDSTRING_ACCEPT_ENCODINGS+1
(BINDSTRING_ACCEPT_MIMES+1
(BINDSTRING_DOWNLOADPATH+1
(BINDSTRING_EXTRA_URL+1
(BINDSTRING_FLAG_BIND_TO_OBJECT+1
(BINDSTRING_HEADERS+1
(BINDSTRING_IID+1
(BINDSTRING_INITIAL_FILENAME+1
(BINDSTRING_LANGUAGE+1
(BINDSTRING_OS+1
(BINDSTRING_PASSWORD+1
(BINDSTRING_POST_COOKIE+1
(BINDSTRING_POST_DATA_MIME+1
(BINDSTRING_PROXY_USERNAME+1
(BINDSTRING_PTR_BIND_CONTEXT+1
(BINDSTRING_ROOTDOC_URL+1
(BINDSTRING_UA_COLOR+1
(BINDSTRING_UA_PIXELS+1
(BINDSTRING_URL+1
(BINDSTRING_USERNAME+1
(BINDSTRING_USER_AGENT+1
(BINDSTRING_XDR_ORIGIN+1
(BOOL
(BREAK_DEBUG_BASE+3
(BYTE
(BYTE 
(BusType == BusTypeFibre
(BusType == BusTypeSas
(BusType == BusTypeSpaces
(BusType == BusTypeiScsi
(C
(CALLBACK_TASK
(CALL_OPT
(CALL_OPT _Arg0::*
(CCS_VERT | CCS_BOTTOM
(CCS_VERT | CCS_NOMOVEY
(CCS_VERT | CCS_TOP
(CC_CDECL+1
(CC_FPFASTCALL+1
(CC_MACPASCAL+1
(CC_MPWCDECL+1
(CC_MPWPASCAL+1
(CC_PASCAL+1
(CC_STDCALL+1
(CC_SYSCALL+1
(CDM_FIRST + 0x0000
(CDM_FIRST + 0x0001
(CDM_FIRST + 0x0002
(CDM_FIRST + 0x0003
(CDM_FIRST + 0x0004
(CDM_FIRST + 0x0005
(CDM_FIRST + 0x0006
(CDN_FIRST - 0x0000
(CDN_FIRST - 0x0001
(CDN_FIRST - 0x0002
(CDN_FIRST - 0x0003
(CDN_FIRST - 0x0004
(CDN_FIRST - 0x0005
(CDN_FIRST - 0x0006
(CDN_FIRST - 0x0007
(CERT_COMPARE_ATTR << CERT_COMPARE_SHIFT | CERT_INFO_ISSUER_FLAG
(CERT_COMPARE_ATTR << CERT_COMPARE_SHIFT | CERT_INFO_SUBJECT_FLAG
(CERT_COMPARE_CERT_ID << CERT_COMPARE_SHIFT
(CERT_COMPARE_CROSS_CERT_DIST_POINTS << CERT_COMPARE_SHIFT
(CERT_COMPARE_ENHKEY_USAGE << CERT_COMPARE_SHIFT
(CERT_COMPARE_EXISTING << CERT_COMPARE_SHIFT
(CERT_COMPARE_HASH_STR << CERT_COMPARE_SHIFT
(CERT_COMPARE_HAS_PRIVATE_KEY << CERT_COMPARE_SHIFT
(CERT_COMPARE_ISSUER_OF << CERT_COMPARE_SHIFT
(CERT_COMPARE_KEY_IDENTIFIER << CERT_COMPARE_SHIFT
(CERT_COMPARE_KEY_SPEC << CERT_COMPARE_SHIFT
(CERT_COMPARE_MD5_HASH << CERT_COMPARE_SHIFT
(CERT_COMPARE_NAME << CERT_COMPARE_SHIFT | CERT_INFO_ISSUER_FLAG
(CERT_COMPARE_NAME << CERT_COMPARE_SHIFT | CERT_INFO_SUBJECT_FLAG
(CERT_COMPARE_NAME_STR_A << CERT_COMPARE_SHIFT | CERT_INFO_ISSUER_FLAG
(CERT_COMPARE_NAME_STR_A << CERT_COMPARE_SHIFT | CERT_INFO_SUBJECT_FLAG
(CERT_COMPARE_NAME_STR_W << CERT_COMPARE_SHIFT | CERT_INFO_ISSUER_FLAG
(CERT_COMPARE_NAME_STR_W << CERT_COMPARE_SHIFT | CERT_INFO_SUBJECT_FLAG
(CERT_COMPARE_PROPERTY << CERT_COMPARE_SHIFT
(CERT_COMPARE_PUBKEY_MD5_HASH << CERT_COMPARE_SHIFT
(CERT_COMPARE_PUBLIC_KEY << CERT_COMPARE_SHIFT
(CERT_COMPARE_SHA1_HASH << CERT_COMPARE_SHIFT
(CERT_COMPARE_SIGNATURE_HASH << CERT_COMPARE_SHIFT
(CERT_COMPARE_SUBJECT_CERT << CERT_COMPARE_SHIFT
(CERT_COMPARE_SUBJECT_INFO_ACCESS << CERT_COMPARE_SHIFT
(CERT_DSS_R_LEN + CERT_DSS_S_LEN
(CERT_ISSUER_PUBLIC_KEY_MD5_HASH_PROP_ID == (X
(CERT_RETRIEVE_BIOMETRIC_PREDEFINED_BASE_TYPE + CERT_BIOMETRIC_PICTURE_TYPE
(CERT_RETRIEVE_BIOMETRIC_PREDEFINED_BASE_TYPE + CERT_BIOMETRIC_SIGNATURE_TYPE
(CERT_SELECT_LAST * 3
(CERT_SHA1_HASH_PROP_ID == (X
(CERT_SIGN_HASH_CNG_ALG_PROP_ID == (X
(CERT_STRONG_SIGN_PARA
(CERT_SYSTEM_STORE_CURRENT_SERVICE_ID << CERT_SYSTEM_STORE_LOCATION_SHIFT
(CERT_SYSTEM_STORE_CURRENT_USER_GROUP_POLICY_ID << CERT_SYSTEM_STORE_LOCATION_SHIFT
(CERT_SYSTEM_STORE_CURRENT_USER_ID << CERT_SYSTEM_STORE_LOCATION_SHIFT
(CERT_SYSTEM_STORE_LOCAL_MACHINE_ENTERPRISE_ID << CERT_SYSTEM_STORE_LOCATION_SHIFT
(CERT_SYSTEM_STORE_LOCAL_MACHINE_GROUP_POLICY_ID << CERT_SYSTEM_STORE_LOCATION_SHIFT
(CERT_SYSTEM_STORE_LOCAL_MACHINE_ID << CERT_SYSTEM_STORE_LOCATION_SHIFT
(CERT_SYSTEM_STORE_SERVICES_ID << CERT_SYSTEM_STORE_LOCATION_SHIFT
(CERT_SYSTEM_STORE_USERS_ID << CERT_SYSTEM_STORE_LOCATION_SHIFT
(CF_SCREENFONTS | CF_PRINTERFONTS
(CHANGEKIND_ADDMEMBER+1
(CHANGEKIND_CHANGEFAILED+1
(CHANGEKIND_DELETEMEMBER+1
(CHANGEKIND_GENERAL+1
(CHANGEKIND_INVALIDATE+1
(CHANGEKIND_SETDOCUMENTATION+1
(CHANGEKIND_SETNAMES+1
(CHAR
(CHAR_BIT*sizeof(_LONGLONG
(CHAR_BIT*sizeof(_ULONGLONG
(CHAR_BIT*sizeof(char16_t
(CHAR_BIT*sizeof(char32_t
(CHAR_BIT*sizeof(int
(CHAR_BIT*sizeof(long
(CHAR_BIT*sizeof(short
(CHAR_BIT*sizeof(unsigned int
(CHAR_BIT*sizeof(unsigned long
(CHAR_BIT*sizeof(unsigned short
(CHAR_BIT*sizeof(wchar_t
(CHAR_BIT-(CHAR_MIN!=0?1:0
(CHAR_BIT-1
(CHAR_BIT-1-1
(CHAR_MIN!=0?1:0
(CIP_ACCESS_DENIED+1
(CIP_DISK_FULL+1
(CIP_NAME_CONFLICT+1
(CIP_NEWER_VERSION_EXISTS+1
(CIP_OLDER_VERSION_EXISTS+1
(CIP_TRUST_VERIFICATION_COMPONENT_MISSING+1
(CIP_UNSAFE_TO_ABORT+1
(CLSCTX_INPROC_SERVER | CLSCTX_INPROC_HANDLER | CLSCTX_LOCAL_SERVER | CLSCTX_INPROC_SERVER16 | CLSCTX_REMOTE_SERVER | CLSCTX_NO_CODE_DOWNLOAD | CLSCTX_NO_CUSTOM_MARSHAL | CLSCTX_ENABLE_CODE_DOWNLOAD | CLSCTX_NO_FAILURE_LOG | CLSCTX_DISABLE_AAA | CLSCTX_ENABLE_AAA | CLSCTX_FROM_DEFAULT_CONTEXT | CLSCTX_ACTIVATE_32_BIT_SERVER | CLSCTX_ACTIVATE_64_BIT_SERVER | CLSCTX_ENABLE_CLOAKING | CLSCTX_APPCONTAINER | CLSCTX_ACTIVATE_AAA_AS_IU | CLSCTX_PS_DLL
(CLSCTX_INPROC_SERVER| CLSCTX_INPROC_HANDLER| CLSCTX_LOCAL_SERVER 
(CLSCTX_INPROC_SERVER| CLSCTX_INPROC_HANDLER| CLSCTX_LOCAL_SERVER| CLSCTX_REMOTE_SERVER
(CLSCTX_INPROC_SERVER|CLSCTX_INPROC_HANDLER
(CLSCTX_INPROC_SERVER|CLSCTX_LOCAL_SERVER
(CLSCTX_INPROC_SERVER|CLSCTX_LOCAL_SERVER|CLSCTX_REMOTE_SERVER
(CM_SERVICE_NETWORK_BOOT_LOAD | CM_SERVICE_VIRTUAL_DISK_BOOT_LOAD | CM_SERVICE_USB_DISK_BOOT_LOAD | CM_SERVICE_SD_DISK_BOOT_LOAD | CM_SERVICE_USB3_DISK_BOOT_LOAD | CM_SERVICE_MEASURED_BOOT_LOAD | CM_SERVICE_VERIFIER_BOOT_LOAD | CM_SERVICE_WINPE_BOOT_LOAD
(CONTEXT_AMD64 | 0x00000001L
(CONTEXT_AMD64 | 0x00000002L
(CONTEXT_AMD64 | 0x00000004L
(CONTEXT_AMD64 | 0x00000008L
(CONTEXT_AMD64 | 0x00000010L
(CONTEXT_AMD64 | 0x00000040L
(CONTEXT_ARM | 0x1L
(CONTEXT_ARM | 0x2L
(CONTEXT_ARM | 0x4L
(CONTEXT_ARM | 0x8L
(CONTEXT_CONTROL | CONTEXT_FLOATING_POINT | CONTEXT_INTEGER | CONTEXT_IA32_CONTROL
(CONTEXT_CONTROL | CONTEXT_INTEGER | CONTEXT_FLOATING_POINT
(CONTEXT_CONTROL | CONTEXT_INTEGER | CONTEXT_FLOATING_POINT | CONTEXT_DEBUG_REGISTERS
(CONTEXT_CONTROL | CONTEXT_INTEGER | CONTEXT_SEGMENTS
(CONTEXT_CONTROL | CONTEXT_INTEGER | CONTEXT_SEGMENTS | CONTEXT_FLOATING_POINT | CONTEXT_DEBUG_REGISTERS
(CONTEXT_CONTROL | CONTEXT_INTEGER | CONTEXT_SEGMENTS | CONTEXT_FLOATING_POINT | CONTEXT_DEBUG_REGISTERS | CONTEXT_EXTENDED_REGISTERS
(CONTEXT_IA64 | 0x00000001L
(CONTEXT_IA64 | 0x00000002L
(CONTEXT_IA64 | 0x00000004L
(CONTEXT_IA64 | 0x00000008L
(CONTEXT_IA64 | 0x00000010L
(CONTEXT_IA64 | 0x00000020L
(CONTEXT_LOWER_FLOATING_POINT | CONTEXT_HIGHER_FLOATING_POINT
(CONTEXT_i386 | 0x00000001L
(CONTEXT_i386 | 0x00000002L
(CONTEXT_i386 | 0x00000004L
(CONTEXT_i386 | 0x00000008L
(CONTEXT_i386 | 0x00000010L
(CONTEXT_i386 | 0x00000020L
(CONTEXT_i386 | 0x00000040L
(CRYPT_DECODE_ENABLE_PUNYCODE_FLAG | CRYPT_DECODE_ENABLE_UTF8PERCENT_FLAG
(CRYPT_ENCODE_ENABLE_PUNYCODE_FLAG | CRYPT_ENCODE_ENABLE_UTF8PERCENT_FLAG
(CTMF_INCLUDE_APPCONTAINER
(Class
(ClientSocket
(ClientSocket == INVALID_SOCKET
(Condition=#expr
(Configuration
(ConnectSocket
(ConnectSocket == INVALID_SOCKET
(D
(D2
(D3
(D4
(DCB_RESET | DCB_ACCUMULATE
(DESCKIND_FUNCDESC+1
(DESCKIND_IMPLICITAPPOBJ+1
(DESCKIND_NONE+1
(DESCKIND_TYPECOMP+1
(DESCKIND_VARDESC+1
(DISK_HISTOGRAM
(DISPATCH_LEVEL
(DLGPROC
(DM_COPIES | DM_COLLATE
(DOCKINFO_USER_SUPPLIED | DOCKINFO_DOCKED
(DOCKINFO_USER_SUPPLIED | DOCKINFO_UNDOCKED
(DRV_MCI_FIRST + 0x400
(DRV_RESERVED + 0xFFF
(DS_SETFONT | DS_FIXEDSYS
(DWORD
(DWORD CtrlType
(DWORD dwControl
(DWORD dwReserved
(DWORD grfCommitFlags
(DWORD_PTR
(Dd
(Deref=0
(Deref=1
(Descriptor . dwSize
(Dm
(Dn
(ENUMTYPE &
(ENUMTYPE a
(ERROR_BIDI_ERROR_BASE + 1
(ERROR_BIDI_ERROR_BASE + 10
(ERROR_BIDI_ERROR_BASE + 2
(ERROR_BIDI_ERROR_BASE + 3
(ERROR_BIDI_ERROR_BASE + 4
(ERROR_BIDI_ERROR_BASE + 5
(ERROR_BIDI_ERROR_BASE + 6
(ERROR_BIDI_ERROR_BASE + 7
(ERROR_BIDI_ERROR_BASE + 8
(ERROR_BIDI_ERROR_BASE + 9
(ERROR_INSUFFICIENT_BUFFER
(ERROR_INVALID_HANDLE
(ERROR_INVALID_PARAMETER
(ERROR_INVALID_STATE
(ERROR_IO_INCOMPLETE
(ERROR_IO_PENDING
(ERROR_NOT_ENOUGH_MEMORY
(ERROR_NOT_FOUND
(ERROR_OPERATION_ABORTED
(EXCEPTION_UNWINDING | EXCEPTION_EXIT_UNWIND | EXCEPTION_TARGET_UNWIND | EXCEPTION_COLLIDED_UNWIND
(ExtensibilityGlobals
(FACILITY_SETUPAPI << 16
(FACILITY_USERMODE_FILTER_MANAGER << 16
(FACILITY_WIN32 << 16
(FALSE
(FARPROC
(FARPROC lpBlockFunc
(FEATURE_ADDON_MANAGEMENT+1
(FEATURE_BEHAVIORS+1
(FEATURE_BLOCK_INPUT_PROMPTS+1
(FEATURE_DISABLE_MK_PROTOCOL+1
(FEATURE_DISABLE_NAVIGATION_SOUNDS+1
(FEATURE_DISABLE_TELNET_PROTOCOL+1
(FEATURE_FEEDS+1
(FEATURE_FORCE_ADDR_AND_STATUS+1
(FEATURE_GET_URL_DOM_FILEPATH_UNENCODED+1
(FEATURE_HTTP_USERNAME_PASSWORD_DISABLE+1
(FEATURE_LOCALMACHINE_LOCKDOWN+1
(FEATURE_MIME_HANDLING+1
(FEATURE_MIME_SNIFFING+1
(FEATURE_OBJECT_CACHING+1
(FEATURE_PROTOCOL_LOCKDOWN+1
(FEATURE_RESTRICT_ACTIVEXINSTALL+1
(FEATURE_RESTRICT_FILEDOWNLOAD+1
(FEATURE_SAFE_BINDTOOBJECT+1
(FEATURE_SECURITYBAND+1
(FEATURE_SSLUX+1
(FEATURE_TABBED_BROWSING+1
(FEATURE_UNC_SAVEDFILECHECK+1
(FEATURE_VALIDATE_NAVIGATE_URL+1
(FEATURE_WEBOC_POPUPMANAGEMENT+1
(FEATURE_WINDOW_RESTRICTIONS+1
(FEATURE_XMLHTTP+1
(FEATURE_ZONE_ELEVATION+1
(FILE
(FILE_ANY_ACCESS
(FLASHW_CAPTION | FLASHW_TRAY
(FOF_SILENT | FOF_NOCONFIRMATION | FOF_NOERRORUI | FOF_NOCONFIRMMKDIR
(FSCTL_QUERY_REGION_INFO_INPUT
(FSCTL_QUERY_REGION_INFO_OUTPUT
(FSCTL_QUERY_STORAGE_CLASSES_OUTPUT
(FUNC_NONVIRTUAL+1
(FUNC_PUREVIRTUAL+1
(FUNC_STATIC+1
(FUNC_VIRTUAL+1
(Field
(Fill
(Flag & EXCEPTION_TARGET_UNWIND
(Ft
(GCS_COMPREADATTR|GCS_COMPATTR
(GCS_COMPREADCLAUSE|GCS_COMPCLAUSE
(GCS_COMPREADSTR|GCS_COMPSTR
(GDI
(GDI_DIBWIDTHBYTES(bi
(GDI__DIBSIZE(bi
(GEOID
(GMEM_FIXED | GMEM_ZEROINIT
(GMEM_MOVEABLE | GMEM_ZEROINIT
(Geometry
(GetCurrentFiber(
(GetCurrentProcess(
(HANDLE hLookup
(HANDLE tok
(HCRYPTASYNC hAsyncRetrieve
(HHM8
(HISTOGRAM_BUCKET
(HIWORD(lParam
(HIWORD(wParam
(HPROPSHEETPAGE
(HRESULT
(HSHELL_REDRAW|HSHELL_HIGHBIT
(HSHELL_WINDOWACTIVATED|HSHELL_HIGHBIT
(HWND
(HandleToUlong(hTask
(IActivationFilter *This
(IAddrExclusionControl *This
(IAddrTrackingControl *This
(IAdviseSink *This
(IAdviseSink2 *This
(IAgileObject *This
(IAgileReference *This
(IApartmentShutdown *This
(IAsyncManager *This
(IAsyncRpcChannelBuffer *This
(IAuthenticate *This
(IAuthenticateEx *This
(IBindCallbackRedirect *This
(IBindCtx *This
(IBindHost *This
(IBindHttpSecurity *This
(IBindProtocol *This
(IBindStatusCallback *This
(IBindStatusCallbackEx *This
(IBinding *This
(IBlockingLock *This
(ICallFactory *This
(ICancelMethodCalls *This
(ICatalogFileInfo *This
(IChannelHook *This
(IClassActivator *This
(IClassFactory *This
(IClientSecurity *This
(ICodeInstall *This
(IComThreadingInfo *This
(IContext *This
(IContinue *This
(ICreateErrorInfo *This
(ICreateTypeInfo *This
(ICreateTypeInfo2 *This
(ICreateTypeLib *This
(ICreateTypeLib2 *This
(ID_PSRESTARTWINDOWS | 0x1
(IDataAdviseHolder *This
(IDataFilter *This
(IDataObject *This
(IDirectWriterLock *This
(IDispatch *This
(IDropSource *This
(IDropSourceNotify *This
(IDropTarget *This
(IDummyHICONIncluder *This
(IEncodingFilterFactory *This
(IEnumContextProps *This
(IEnumFORMATETC *This
(IEnumMoniker *This
(IEnumOLEVERB *This
(IEnumSTATDATA *This
(IEnumSTATPROPSETSTG *This
(IEnumSTATPROPSTG *This
(IEnumSTATSTG *This
(IEnumString *This
(IEnumUnknown *This
(IEnumVARIANT *This
(IEnumWbemClassObject *This
(IErrorInfo *This
(IErrorLog *This
(IExternalConnection *This
(IFastRundown *This
(IFillLockBytes *This
(IForegroundTransfer *This
(IGetBindHandle *This
(IGlobalInterfaceTable *This
(IGlobalOptions *This
(IHttpNegotiate *This
(IHttpNegotiate2 *This
(IHttpNegotiate3 *This
(IHttpSecurity *This
(IInitializeSpy *This
(IInternalUnknown *This
(IInternet *This
(IInternetBindInfo *This
(IInternetBindInfoEx *This
(IInternetHostSecurityManager *This
(IInternetPriority *This
(IInternetProtocol *This
(IInternetProtocolEx *This
(IInternetProtocolInfo *This
(IInternetProtocolRoot *This
(IInternetProtocolSink *This
(IInternetProtocolSinkStackable *This
(IInternetSecurityManager *This
(IInternetSecurityManagerEx *This
(IInternetSecurityManagerEx2 *This
(IInternetSecurityMgrSite *This
(IInternetSession *This
(IInternetThreadSwitch *This
(IInternetZoneManager *This
(IInternetZoneManagerEx *This
(IInternetZoneManagerEx2 *This
(IL * 0x1000
(ILayoutStorage *This
(ILockBytes *This
(IMAGE_SYMBOL_EX
(IMAGE_SYM_DTYPE_ARRAY << N_BTSHFT
(IMAGE_SYM_DTYPE_FUNCTION << N_BTSHFT
(IMAGE_SYM_DTYPE_POINTER << N_BTSHFT
(IMAGE_SYM_DTYPE_POINTER<<N_BTSHFT
(IMalloc *This
(IMallocSpy *This
(IMarshal *This
(IMarshal2 *This
(IMarshalingStream *This
(IMessageFilter *This
(IMofCompiler *This
(IMoniker *This
(IMonikerProp *This
(IMultiQI *This
(IN OUT PRPC_MESSAGE Message
(IN PVOID lpFlsData
(IN RDR_CALLOUT_STATE *CallOutState
(IN RPCLT_PDU_FILTER_FUNC pfnFilter
(IN void *arg
(IN6_ADDR
(IND
(INFINITE
(INFINITY * 0.0F
(INT_PTR
(IN_ADDR
(INoMarshal *This
(IOC_INOUT|(x
(IOC_IN|(((long
(IOC_IN|(x
(IOC_IN|IOC_OUT
(IOC_OUT|(((long
(IOC_OUT|(x
(IOC_VOID|((x
(IOC_VOID|(x
(IOC_WS2|0x07000000
(IObjContext *This
(IOleAdviseHolder *This
(IOleCache *This
(IOleCache2 *This
(IOleCacheControl *This
(IOleClientSite *This
(IOleContainer *This
(IOleInPlaceActiveObject *This
(IOleInPlaceFrame *This
(IOleInPlaceObject *This
(IOleInPlaceSite *This
(IOleInPlaceUIWindow *This
(IOleItemContainer *This
(IOleLink *This
(IOleObject *This
(IOleWindow *This
(IOplockStorage *This
(IPSFactoryBuffer *This
(IParseDisplayName *This
(IPersist *This
(IPersistFile *This
(IPersistMoniker *This
(IPersistStorage *This
(IPersistStream *This
(IPipeByte *This
(IPipeDouble *This
(IPipeLong *This
(IProcessInitControl *This
(IProcessLock *This
(IProgressNotify *This
(IPropertyBag *This
(IPropertySetStorage *This
(IPropertyStorage *This
(IROTData *This
(IRP_MJ_OTHER
(IRecordInfo *This
(IReleaseMarshalBuffers *This
(IRootStorage *This
(IRpcChannelBuffer *This
(IRpcChannelBuffer2 *This
(IRpcChannelBuffer3 *This
(IRpcHelper *This
(IRpcOptions *This
(IRpcProxyBuffer *This
(IRpcStubBuffer *This
(IRpcSyntaxNegotiate *This
(IRunnableObject *This
(IRunningObjectTable *This
(IS_HIGH_SURROGATE(hs
(ISequentialStream *This
(IServerSecurity *This
(IServiceProvider *This
(ISoftDistExt *This
(IStdMarshalInfo *This
(IStorage *This
(IStorage *istg
(IStorage *stg
(IStream *This
(IStream *pStm
(ISupportErrorInfo *This
(ISurrogate *This
(ISurrogateService *This
(ISynchronize *This
(ISynchronizeContainer *This
(ISynchronizeEvent *This
(ISynchronizeHandle *This
(ISynchronizeMutex *This
(ITEM& value
(IThumbnailExtractor *This
(ITimeAndNoticeControl *This
(ITypeChangeEvents *This
(ITypeComp *This
(ITypeFactory *This
(ITypeInfo *This
(ITypeInfo2 *This
(ITypeLib *This
(ITypeLib2 *This
(ITypeMarshal *This
(IUnknown *This
(IUnsecuredApartment *This
(IUri *This
(IUriBuilder *This
(IUriBuilderFactory *This
(IUriContainer *This
(IUrlMon *This
(IViewObject *This
(IViewObject2 *This
(IWaitMultiple *This
(IWbemBackupRestore *This
(IWbemBackupRestoreEx *This
(IWbemCallResult *This
(IWbemClassObject *This
(IWbemConfigureRefresher *This
(IWbemContext *This
(IWbemHiPerfEnum *This
(IWbemLocator *This
(IWbemObjectAccess *This
(IWbemObjectSink *This
(IWbemObjectSinkEx *This
(IWbemObjectTextSrc *This
(IWbemQualifierSet *This
(IWbemRefresher *This
(IWbemServices *This
(IWbemShutdown *This
(IWbemStatusCodeText *This
(IWbemUnsecuredApartment *This
(IWinInetCacheHints *This
(IWinInetCacheHints2 *This
(IWinInetFileStream *This
(IWinInetHttpInfo *This
(IWinInetHttpTimeouts *This
(IWinInetInfo *This
(IWindowForBindingUI *This
(IWrappedProtocol *This
(IXMLAttribute *This
(IXMLDOMAttribute *This
(IXMLDOMCDATASection *This
(IXMLDOMCharacterData *This
(IXMLDOMComment *This
(IXMLDOMDocument *This
(IXMLDOMDocumentFragment *This
(IXMLDOMDocumentType *This
(IXMLDOMElement *This
(IXMLDOMEntity *This
(IXMLDOMEntityReference *This
(IXMLDOMImplementation *This
(IXMLDOMNamedNodeMap *This
(IXMLDOMNode *This
(IXMLDOMNodeList *This
(IXMLDOMNotation *This
(IXMLDOMParseError *This
(IXMLDOMProcessingInstruction *This
(IXMLDOMText *This
(IXMLDSOControl *This
(IXMLDocument *This
(IXMLDocument2 *This
(IXMLElement *This
(IXMLElement2 *This
(IXMLElementCollection *This
(IXMLError *This
(IXMLHttpRequest *This
(IXTLRuntime *This
(IZoneIdentifier *This
(IdleShutdown+1
(JOYERR_BASE+5
(JOYERR_BASE+6
(JOYERR_BASE+7
(JOY_RETURNX | JOY_RETURNY | JOY_RETURNZ | JOY_RETURNR | JOY_RETURNU | JOY_RETURNV | JOY_RETURNPOV | JOY_RETURNBUTTONS
(KF_ALTDOWN >> 8
(KF_EXTENDED >> 8
(KMDF
(LAYOUT_RTL | LAYOUT_BTT | LAYOUT_VBH
(LBS_NOTIFY | LBS_SORT | WS_VSCROLL | WS_BORDER
(LMEM_FIXED
(LMEM_FIXED | LMEM_ZEROINIT
(LMEM_MOVEABLE
(LMEM_MOVEABLE | LMEM_ZEROINIT
(LOBYTE(((WORD
(LOBYTE((rgb
(LOBYTE(rgb
(LONG
(LONG_PTR
(LOWORD( (dwOSVer
(LOWORD(lParam
(LOWORD(wParam
(LPARAM
(LPCTSTR
(LPCWSTR
(LPGUID lpServiceClassId
(LPHANDLE lpHandle
(LPHELPINFO lpHelpInfo
(LPOLEOBJECT
(LPOLESERVER
(LPOLESERVERDOC
(LPOVERLAPPED lpOverlapped
(LPSTR
(LPTSTR
(LPVOID
(LPVOID lpFiberParameter
(LPVOID lpParam
(LPVOID lpParameter
(LPVOID lpThreadParameter
(LPVOID pDDrawRef
(LPVOID pv
(LPWSACMSGHDR
(LPWSASERVICECLASSINFOA lpServiceClassInfo
(LPWSASERVICECLASSINFOW lpServiceClassInfo
(LPWSTR
(LRESULT
(Length
(Limit
(ListenSocket
(ListenSocket == INVALID_SOCKET
(LongToHandle(-2
(LongToHandle(-3
(LongToHandle(0xFFFFFFFFL
(LowerIndex
(MAKEINTATOM(0x8002
(MAKELONG((short
(MATH_ERRNO | MATH_ERREXCEPT
(MAXIMUM_WAIT_OBJECTS
(MAXLONG
(MAXSIZE_T >> 1
(MAXUHALF_PTR >> 1
(MAXUINT >> 1
(MAXUINT16 >> 1
(MAXUINT32 >> 1
(MAXUINT64 >> 1
(MAXUINT8 >> 1
(MAXUINT_PTR >> 1
(MAXULONG32 >> 1
(MAXULONG64 >> 1
(MAXULONG_PTR >> 1
(MB_CUR_MAX > 1 ? (((c
(MCIERR_BASE + 10
(MCIERR_BASE + 11
(MCIERR_BASE + 12
(MCIERR_BASE + 13
(MCIERR_BASE + 14
(MCIERR_BASE + 15
(MCIERR_BASE + 16
(MCIERR_BASE + 17
(MCIERR_BASE + 18
(MCIERR_BASE + 19
(MCIERR_BASE + 20
(MCIERR_BASE + 21
(MCIERR_BASE + 22
(MCIERR_BASE + 23
(MCIERR_BASE + 24
(MCIERR_BASE + 25
(MCIERR_BASE + 256
(MCIERR_BASE + 26
(MCIERR_BASE + 28
(MCIERR_BASE + 3
(MCIERR_BASE + 30
(MCIERR_BASE + 31
(MCIERR_BASE + 32
(MCIERR_BASE + 33
(MCIERR_BASE + 34
(MCIERR_BASE + 35
(MCIERR_BASE + 36
(MCIERR_BASE + 37
(MCIERR_BASE + 38
(MCIERR_BASE + 39
(MCIERR_BASE + 40
(MCIERR_BASE + 41
(MCIERR_BASE + 42
(MCIERR_BASE + 43
(MCIERR_BASE + 44
(MCIERR_BASE + 45
